capa,cabeza,bits,ph_mejor,comp_unico,comp_min_por_cabeza,muestra_compartida,mejora_relativa,mejora_implementacion_vieja
1,5,8,0.0095447759021262,0.0096438705229162,0.0095382250661516,13,0.010275399338318274,-0.0006867982176103804
1,6,4,0.1743543298374208,0.1759249805229926,0.1737569275407226,13,0.00892795713776716,-0.0034381495181432706
1,6,8,0.0095419722869994,0.0096381379557297,0.0095799365979142,13,0.009977619035130331,0.003962897930145631
1,7,4,0.1742109281877014,0.1767135375668841,0.1759259128625185,13,0.0141619562012078,0.009748334664929718
1,7,8,0.0095830395368489,0.0097386043994906,0.0096421658547896,13,0.015974040659238294,0.006132057758717076
1,8,4,0.1579270717812702,0.1612151557591135,0.1586809417527948,13,0.02039562572365302,0.004750853903419838
1,8,8,0.0086647201360077,0.0088593493126528,0.0087230292246201,13,0.021968789103634607,0.006684499972535549
1,9,4,0.1772974136126855,0.1799909230522899,0.178269753697321,13,0.014964695963150814,0.005454318887355489
1,9,8,0.0097057686509125,0.0099048841946217,0.0098030079434456,13,0.020102763424262884,0.009919332218649903
1,10,4,0.1732425344915935,0.1729849593556501,0.1729849593556501,13,-0.0014890030723066579,-0.0014890030723066579
1,10,8,0.0094921268184803,0.0095013236651118,0.0095013236651118,13,0.0009679542509714419,0.0009679542509714419
1,11,4,0.1756678712926404,0.1801771532857796,0.1760802198376868,13,0.025026935496017224,0.002341822070795416
1,11,8,0.0096694153028972,0.0098626627727638,0.0096633390249848,13,0.01959384339899189,-0.0006287969299936887
1,12,4,0.1752007211013242,0.1760744405607553,0.1755665090125926,13,0.004962216302653072,0.0020834720319133533
1,12,8,0.009636305943199,0.0096917668254184,0.009615796280032,13,0.0057224738500666434,-0.0021329136526726253
1,13,4,0.1746855664532155,0.176640862780092,0.1759540514246499,13,0.011069331841470497,0.007209183085946755
1,13,8,0.0096091411933294,0.0096979042654392,0.009662299948095,13,0.009152809687566165,0.005501666792706091
1,14,4,0.1656038708572738,0.1666425630608273,0.1639519537601006,13,0.006233054655876693,-0.010075617028573647
1,14,8,0.0091060353273848,0.0091295521854177,0.0089775784792789,13,0.0025759048806864838,-0.01430862992759028
1,15,4,0.1533476411672168,0.1542055811630325,0.1526682996747236,13,0.005563611831329633,-0.004449787506251289
1,15,8,0.0084210424717444,0.0085196664507706,0.0083468371250218,13,0.011576037582701253,-0.008890235380315664
2,0,4,0.1721710054876923,0.1733411421319903,0.1722342334727872,12,0.006750484218034178,0.0003671046331501297
2,0,8,0.0094373231059377,0.0095029772559992,0.0094810515126347,12,0.006908797979080975,0.0046121895486724435
2,1,4,0.1711592553157627,0.1732764920523226,0.1706279763137755,12,0.0122188342543348,-0.003113668774985754
2,1,8,0.0093724179031342,0.0094874769253154,0.0093368827155518,12,0.012127462663354542,-0.0038058941795651165
2,2,4,0.169869996459566,0.1734831327818502,0.1696274398223856,12,0.020827017960458587,-0.001429937499701547
2,2,8,0.0093571516408,0.0095575533407654,0.0093249566075188,12,0.02096788715901136,-0.0034525665519172825
2,3,4,0.1716134288020273,0.1768066615786926,0.1727445672861623,12,0.029372381845205072,0.006548040855381641
2,3,8,0.0094626861676213,0.0096943455010022,0.0094574877024522,12,0.0238963355862395,-0.0005496666062545262
2,4,4,0.1722049085097153,0.1746460408111294,0.1706418998749244,12,0.013977598862685117,-0.009159582939105411
2,4,8,0.0094282122833607,0.0095881786753613,0.0093772170833687,12,0.016683709953347507,-0.0054382019247954305
2,5,4,0.1753853059526642,0.1782216220290118,0.1754846852591177,12,0.01591454529510393,0.0005663132729033887
2,5,8,0.0096513971811257,0.0097732149368464,0.0096627306892948,12,0.012464450695894264,0.0011729094531896214
2,6,4,0.1646442545607174,0.1648795632887623,0.1640191441339238,12,0.0014271552116667313,-0.0038112040523952595
2,6,8,0.0090453692499284,0.0090410637765288,0.0089974003926672,12,-0.00047621314327829994,-0.005331412982387043
2,7,4,0.1635646776057152,0.1636956480889618,0.1622100296994951,12,0.0008000853093873356,-0.008351196955759524
2,7,8,0.0089836086437329,0.0089446668162332,0.0089103187287345,12,-0.004353636451726317,-0.008225285450457507
2,8,4,0.1741705584193427,0.1771148457317925,0.1752998075098131,12,0.016623605436827026,0.006441815918178881
2,8,8,0.0095819089977373,0.0097291947119927,0.0095793932871859,12,0.0151385308461189,-0.0002626168981667881
2,9,4,0.1696942323093415,0.1707959398368757,0.1693063015173293,12,0.006450431600343735,-0.002291295648983745
2,9,8,0.0093355062377315,0.0093824201061136,0.0092594746612114,12,0.0050001884216984245,-0.008211219243204091
