capa,cabeza,bits,ratio_q2,veredicto
5,8,8,1.010856321903843,cerca
5,9,4,1.032243171335275,cerca
5,9,8,1.029285837260146,cerca
5,10,4,1.0097579377524881,cerca
5,10,8,1.0134848159822394,cerca
5,11,4,1.0016235858150742,cerca
5,11,8,0.9976756874071592,cerca
5,12,4,1.0141873947665783,cerca
5,12,8,1.0170453217313702,cerca
5,13,4,1.0224636124535218,cerca
5,13,8,1.0173686809260225,cerca
5,14,4,1.0097586489096422,cerca
5,14,8,1.0105343033773986,cerca
5,15,4,1.0130726050784848,cerca
5,15,8,1.01461595641661,cerca
6,0,4,1.036946670431449,cerca
6,0,8,1.0367495498424149,cerca
6,1,4,1.0248228714196188,cerca
6,1,8,1.0254712367337149,cerca
6,2,4,1.0111330417175461,cerca
6,2,8,1.0184315983199477,cerca
6,3,4,1.0127440862164894,cerca
6,3,8,1.0129726133313797,cerca
6,4,4,1.028731245869208,cerca
6,4,8,1.0248373940496622,cerca
6,5,4,1.0139279426810983,cerca
6,5,8,1.0112896914066116,cerca
6,6,4,1.0259740581815295,cerca
6,6,8,1.021352424010963,cerca
6,7,4,1.0116930617722868,cerca
6,7,8,1.010661961126193,cerca
6,8,4,1.0206521889758813,cerca
6,8,8,1.0212989269882626,cerca
6,9,4,1.028188624516912,cerca
6,9,8,1.0270715444025096,cerca
6,10,4,1.0122641974960453,cerca
6,10,8,1.0139739527245104,cerca
6,11,4,1.0213289599146744,cerca
6,11,8,1.0210601582846537,cerca
6,12,4,1.0055967501694856,cerca
6,12,8,1.0023158668720082,cerca
6,13,4,1.0214345829909102,cerca
6,13,8,1.0266352608584643,cerca
6,14,4,1.0211874410839716,cerca
6,14,8,1.0273613087934343,cerca
6,15,4,1.0195994466349108,cerca
6,15,8,1.013334977142547,cerca
7,0,4,1.0258101369198338,cerca
7,0,8,1.0228688866608642,cerca
7,1,4,1.0160125954449908,cerca
7,1,8,1.0189880827850404,cerca
7,2,4,1.0379743888828454,cerca
7,2,8,1.0361367185355026,cerca
7,3,4,1.015234335753184,cerca
7,3,8,1.0193552406233686,cerca
7,4,4,1.0339150213574713,cerca
7,4,8,1.0299171006219834,cerca
7,5,4,1.027439095336284,cerca
7,5,8,1.0303488713531694,cerca
7,6,4,1.0125361935894233,cerca
7,6,8,1.0154848441084423,cerca
7,7,4,1.0342362255485296,cerca
7,7,8,1.0370430191208866,cerca
7,8,4,1.0220761418687272,cerca
7,8,8,1.0187460066034335,cerca
7,9,4,1.0261880278207773,cerca
7,9,8,1.0238993259785658,cerca
7,10,4,1.0172510887361808,cerca
7,10,8,1.0168446734452015,cerca
7,11,4,0.9997519921179983,cerca
7,11,8,1.002608609154404,cerca
7,12,4,1.0148668896266766,cerca
7,12,8,1.0158037119008572,cerca
7,13,4,1.0126389585993205,cerca
7,13,8,1.0163452278918563,cerca
7,14,4,1.017372568570005,cerca
7,14,8,1.023806018262969,cerca
7,15,4,1.0146734609335273,cerca
7,15,8,1.0146775690843604,cerca
8,0,4,1.0239424002327617,cerca
8,0,8,1.0225118860976445,cerca
8,1,4,1.0303011997764888,cerca
8,1,8,1.0280221560975913,cerca
8,2,4,1.000055049266775,cerca
8,2,8,1.0004428890131407,cerca
8,3,4,1.0143346716148376,cerca
8,3,8,1.014545805152495,cerca
8,4,4,1.042352643748646,cerca
8,4,8,1.0395689603952367,cerca
8,5,4,1.0296298827463308,cerca
8,5,8,1.0268503630725927,cerca
8,6,4,1.0344375187622543,cerca
8,6,8,1.034002575876105,cerca
8,7,4,1.013534656679832,cerca
8,7,8,1.009155606648555,cerca
8,8,4,1.0108459062258117,cerca
8,8,8,1.0140224907668123,cerca
8,9,4,1.0275281082238454,cerca
8,9,8,1.0223276627147118,cerca
8,10,4,1.0386508959992171,cerca
8,10,8,1.0351047717059787,cerca
8,11,4,1.0102453296692624,cerca
8,11,8,1.0139666426493161,cerca
8,12,4,1.0130821007448523,cerca
8,12,8,1.0153962987764182,cerca
8,13,4,1.020452203000726,cerca
8,13,8,1.027035841353997,cerca
8,14,4,1.0140249965763957,cerca
8,14,8,1.0129791050279835,cerca
8,15,4,1.0386111483024691,cerca
8,15,8,1.0341855587587752,cerca
9,0,4,1.0152611195942949,cerca
9,0,8,1.014347900242836,cerca
9,1,4,1.0126485100730742,cerca
9,1,8,1.0195940732994186,cerca
9,2,4,1.0240999375669646,cerca
9,2,8,1.0202194921318704,cerca
9,3,4,1.0126867812139837,cerca
9,3,8,1.0116170009512495,cerca
9,4,4,1.0290931023066752,cerca
9,4,8,1.0275731140361115,cerca
9,5,4,1.0224599657740567,cerca
9,5,8,1.0209771184806826,cerca
9,6,4,1.0252934744875375,cerca
9,6,8,1.0308509959396541,cerca
9,7,4,0.995755283373622,cerca
9,7,8,0.9984301306055416,cerca
9,8,4,1.026956613453574,cerca
9,8,8,1.0266653849460312,cerca
9,9,4,1.024641084239752,cerca
9,9,8,1.024020673325742,cerca
9,10,4,1.0230648651556025,cerca
9,10,8,1.022390661047496,cerca
9,11,4,1.0224956364152222,cerca
9,11,8,1.0184743458755505,cerca
9,12,4,1.0197397017602765,cerca
9,12,8,1.0144320013559116,cerca
9,13,4,1.0311001040684382,cerca
9,13,8,1.0296838047894292,cerca
9,14,4,1.0032455605245,cerca
9,14,8,1.000599786164509,cerca
9,15,4,1.0128307801872194,cerca
9,15,8,1.0194474840919434,cerca
10,0,4,1.0116223026654225,cerca
10,0,8,1.0122626118233888,cerca
10,1,4,1.0111603302302752,cerca
