capa,cabeza,bits,ph_mejor,comp_unico,comp_min_por_cabeza,muestra_compartida,mejora_relativa,mejora_implementacion_vieja
2,5,8,0.0091939282954502,0.0093571598122127,0.009161213137925,30,0.017444557968268905,-0.003571050802187786
2,6,4,0.1546988249775893,0.1575665253499443,0.1520366186089185,14,0.018199934065855964,-0.01751029714439218
2,6,8,0.0084685463415743,0.0085970485506797,0.0083515172337045,30,0.014947247110200294,-0.014012915808579393
2,7,4,0.1658654306281407,0.1680969474525548,0.1670287561575987,14,0.013275177558140684,0.006964821843972656
2,7,8,0.0091196938004723,0.009300939902561,0.0091429671714727,30,0.01948685874626434,0.0025454943197233994
2,8,4,0.1787760094327825,0.1863950985007005,0.1776402820920126,14,0.04087601621074476,-0.006393411040529722
2,8,8,0.0097955615028853,0.0100881973238926,0.009724207609166,30,0.029007741582753283,-0.007337759186881561
2,9,4,0.1614509367115289,0.1661430824308315,0.1613208288990838,14,0.02824159544082148,-0.0008065158934094749
2,9,8,0.008861143545279,0.0091875448711278,0.0088669423765629,30,0.03552650141329157,0.0006539831925859952
2,10,4,0.1889579476126416,0.190412220799804,0.1899499302415835,14,0.007637499216457328,0.005222337421657752
2,10,8,0.0103378372998806,0.0104937779352204,0.0104660843996158,30,0.01486029495787352,0.012253589292659139
2,11,4,0.1760517155836885,0.1804616977904742,0.1740616227799852,14,0.024437219979532205,-0.011433265828038457
2,11,8,0.0096948251927136,0.0099231000956042,0.0095443330233964,30,0.023004393857895686,-0.015767698900309962
3,0,4,0.1667346779610171,0.1710818997628977,0.1682019296188681,22,0.025410179615175037,0.008723155918458675
3,0,8,0.0091634250299923,0.0093901973799252,0.0092280948127384,22,0.024149902367090272,0.007007923526840088
3,1,4,0.1549731501652453,0.1563276894176817,0.1561319036067913,22,0.008664742999029997,0.007421631420470326
3,1,8,0.0085038494743968,0.0085916751478343,0.0085812472640245,22,0.010222182743913228,0.009019410261277252
3,2,4,0.1659165224209512,0.1699634538379238,0.1666972929149918,22,0.023810597664317472,0.004683762287842061
3,2,8,0.0090752603117149,0.009333711751062,0.0091119299415908,22,0.0276901029558464,0.00402435379891621
3,3,4,0.1593279835829387,0.1606123647253028,0.1599002605778504,22,0.007996776241734477,0.0035789622408593114
3,3,8,0.0087365285994125,0.0087946130225515,0.0087755626218764,22,0.00660454564516469,0.004448036455986742
3,4,4,0.184735501799666,0.1851091287196426,0.1845342484574938,22,0.002018414340561713,-0.001090601575883347
3,4,8,0.0101417201061555,0.0101446306598214,0.0101372358039598,22,0.0002869058286595746,-0.000442359463903182
3,5,4,0.1785853751258514,0.1841837308545048,0.1811079257100044,22,0.030395495316987504,0.013928438384260302
3,5,8,0.0098055193324584,0.0101208283804252,0.009933431899245,22,0.031154470376816477,0.012876976263996085
3,6,4,0.1638658587822215,0.1641083624505286,0.1638095484321995,22,0.0014777045160034759,-0.0003437549920682554
3,6,8,0.0089667528270773,0.0090757144302984,0.0089407115138311,22,0.012005843072512441,-0.0029126667610195655
3,7,4,0.1776449191633619,0.1846738766693363,0.1762247753394493,22,0.03806146073686398,-0.008058706962043602
3,7,8,0.0097869961672833,0.0101250585888609,0.009689653165085,22,0.03338868793801558,-0.010046077041132633
